date,p0,p1,p2,p3
2017-10-31,0.9734868272990125,1.5816635061387883e-15,0.026513172700673326,8.948062334209874e-14
2017-11-30,0.02681562113432079,1.9516258797050517e-12,0.9731843785579253,3.0565991554949824e-10
2017-12-31,0.00012200971425515692,2.2408195206154036e-14,0.9998779602788643,3.0006904818891893e-08
2018-01-31,9.823291942459991e-08,4.5232677998959385e-13,0.9999998703010617,3.14654740131011e-08
2018-02-28,4.548320835655171e-12,1.3338978760908427e-13,0.9999998404296221,1.5956562355796524e-07
2018-03-31,1.3343327549793296e-13,1.9999901769389497e-12,0.9999999156152661,8.438254215923431e-08
2018-04-30,1.999980619770098e-12,4.325749561764868e-14,0.9999999437495732,5.6248244619043654e-08
2018-05-31,4.430350942083823e-14,8.772414691981594e-16,0.999999926777039,7.322295197802933e-08
2018-06-30,8.86458745569645e-16,4.033875219012588e-17,0.9999999613196459,3.8680560165874045e-08
2018-07-31,4.09579151373671e-17,1.3250345467869793e-20,0.9999991734879364,8.265120298923447e-07
2018-08-31,7.80034262132269e-20,3.816892306610314e-24,0.9999992333872098,7.666127821695608e-07
2018-09-30,2.7832089275490016e-23,1.339597773503676e-26,0.9999979692531881,2.0307466268319293e-06
2018-10-31,1.340597872606095e-26,8.523464505547051e-20,0.9999725488235395,2.745117636511078e-05
2018-11-30,8.523464505535422e-20,6.50243378207392e-22,0.9996906275207179,0.0003093724793833055
2018-12-31,6.502135615280283e-22,3.8027820202790394e-16,0.9999713849298686,2.8615069974108288e-05
2019-01-31,3.8027820204779098e-16,1.5913018707524687e-20,0.9999450554971352,5.494450263764742e-05
2019-02-28,2.481272527753034e-20,1.488807956526124e-19,0.9999810697195339,1.8930280599388112e-05
2019-03-31,1.488989172098436e-19,2.20657241796964e-24,0.9999634877057574,3.651229417886608e-05
2019-04-30,1.0126847773446384e-22,1.2004529466345985e-23,0.9999476635579325,5.233644195277223e-05
2019-05-31,1.2040709290691513e-23,2.1262200139912394e-15,0.9999741365015773,2.5863498636679076e-05
2019-06-30,2.1262200125583044e-15,1.1208852842694668e-17,0.9999907944671464,9.205532994856264e-06
2019-07-31,1.1836557270583318e-17,2.222703182182543e-16,0.9999792508089641,2.074919087675821e-05
2019-08-31,2.2229755016800527e-16,4.1469661044384537e-16,0.9999722628035339,2.7737196495855813e-05
2019-09-30,4.1493385671075676e-16,1.4786803732811834e-18,0.9999650858527881,3.49141473000242e-05
2019-10-31,2.0045154155645994e-18,1.9571157911928384e-17,0.9999816584203904,1.8341579636279e-05
2019-11-30,1.9649690495041745e-17,1.2882163494146325e-18,0.9999941414738432,5.8585262266204465e-06
2019-12-31,3.4657647565691513e-18,1.1005093583189358e-13,0.9999999223400694,7.766002629479714e-08
2020-01-31,1.0351982917539156e-13,1.6020136787692805e-06,0.9998312962037237,0.000167101782287897
2020-02-29,1.2425320746097529e-13,0.93065834318419,0.06934159018496353,6.6630706774453e-08
2020-03-31,4.349129521110194e-13,0.9999980770199117,1.922979745855856e-06,7.375065796881739e-17
2020-04-30,4.3025497595808014e-11,0.999999999956799,1.7103446259152973e-16,1.3964745500038124e-17
2020-05-31,6.051577965668767e-12,0.9999999999940883,5.649800860489581e-51,4.93235389567279e-37
2020-06-30,4.217352307435159e-12,0.9999999999959073,4.383645255231331e-53,2.4475289640830698e-57
2020-07-31,5.697861989617526e-09,0.9999999943020157,5.730791786008472e-31,8.212109874293693e-66
2020-08-31,2.6090231545906727e-08,0.9999999739097806,2.7145245900579247e-20,6.4573508725645804e-43
2020-09-30,1.2584814633988334e-08,0.9999999874153218,3.891947775566397e-18,8.868050898933443e-32
2020-10-31,1.3225030256638131e-08,0.9999999867750375,4.5263564052300074e-20,2.1639166719111534e-28
2020-11-30,5.59430987127638e-06,0.9999944056900908,8.259620563833744e-15,8.066302283537097e-29
2020-12-31,9.548693244104618e-05,0.9999045130674472,4.445943405518535e-14,2.358166836362433e-24
2021-01-31,0.025366473497809062,0.9746335265023063,6.486881704809538e-17,1.739659537030544e-27
2021-02-28,0.9755031966110929,0.024496803389074454,2.1196602289078877e-22,2.3888100800576076e-34
2021-03-31,0.9999984007958174,1.5992043083772192e-06,2.0038737836040033e-28,2.694684377336807e-57
2021-04-30,0.9999999990163815,9.834932671062343e-10,3.51813023177911e-30,2.692980628246477e-64
2021-05-31,1.0,6.917609223272736e-16,1.2569309727456675e-49,2.803310135825871e-44
2021-06-30,1.0,5.122608522821196e-18,2.60058600257846e-39,2.2250660560028824e-51
2021-07-31,1.0,2.65846388119548e-15,5.884996635625604e-27,1.1981695384636928e-52
2021-08-31,1.0,4.043517718260543e-15,5.228534909842054e-21,4.1994532065122593e-35
2021-09-30,0.999999999956799,4.303838442998185e-11,7.604319794451263e-27,3.309765514898329e-37
2021-10-31,1.0,1.5626223932323058e-14,2.5014752841713075e-17,9.131711289885973e-36
2021-11-30,0.9999999991082404,1.5911256962544678e-10,7.327340025495177e-10,1.671850554111814e-20
2021-12-31,0.9998563690187174,4.899044250962382e-19,0.00014363098126536132,2.4456037540025846e-16
2022-01-31,0.34396114521359983,5.769300729003933e-15,0.656038854786316,1.624108821106483e-13
2022-02-28,0.00038826772460281837,1.0283181355249918e-13,0.9996117283333977,3.9417615981523316e-09
2022-03-31,2.8456206273038515e-07,1.6693281594207952e-23,0.9999990721266597,6.433111828621639e-07
2022-04-30,1.2296918382447024e-15,1.5771296567997546e-26,0.9999999993660822,6.340372773454089e-10
2022-05-31,2.0823613269597486e-21,1.3454483049188298e-28,0.9999999744982236,2.5501804028501163e-08
2022-06-30,1.4601661438454144e-28,5.583729288581937e-29,0.99999997395571,2.604408863370711e-08
2022-07-31,5.58380957064161e-29,3.4028071264921726e-36,0.9999890439503274,1.095604951521151e-05
2022-08-31,3.402910108252003e-36,2.152286665810756e-47,0.8468853521855129,0.153114647814374
2022-09-30,2.1523158938215476e-47,8.142317599975639e-61,6.214392762772521e-05,0.9999378560725493
2022-10-31,8.14233643865881e-61,1.2303742205875942e-59,4.0418569686188204e-08,0.9999999595816015
2022-11-30,1.2303742205875942e-59,1.0531192559789743e-56,2.0150591349989262e-10,0.9999999997985469
2022-12-31,1.0531192559794532e-56,2.3312218974693486e-62,5.421991560309302e-10,0.9999999994579412
2023-01-31,2.3312218974704087e-62,3.7357715720811765e-52,1.6893184088448842e-11,0.9999999999831743
